id,caminho,tipo,status
775,03-channels/regenera-channel-web-banking/reference-prototypes/arquivos-2/10.Regenera-Nome_Modules-App.tsx,código-fonte/protótipo,REFACTOR_REQUIRED
776,03-channels/regenera-channel-web-banking/reference-prototypes/arquivos-2/App.tsx,código-fonte/protótipo,REFACTOR_REQUIRED
777,03-channels/regenera-channel-web-banking/reference-prototypes/arquivos-2/App.tsx.tsx,código-fonte/protótipo,REFACTOR_REQUIRED
778,03-channels/regenera-channel-web-banking/reference-prototypes/arquivos-2/app.json,configuração,REFERENCE_ONLY
779,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/.gitignore,código-fonte/protótipo,REFACTOR_REQUIRED
780,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/.vscode/launch.json,configuração,REFERENCE_ONLY
781,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/.vscode/settings.json,configuração,REFERENCE_ONLY
782,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/App.tsx,código-fonte/protótipo,REFACTOR_REQUIRED
783,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/ai-logic.js,código-fonte/protótipo,BLOCKED_SECURITY_FINDING
784,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/apply-audit.cjs,código-fonte/protótipo,REFACTOR_REQUIRED
785,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/bridge_script.js,código-fonte/protótipo,BLOCKED_SECURITY_FINDING
786,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/AI/RaphaelaOrb.tsx,código-fonte/protótipo,REFACTOR_REQUIRED
787,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/AI/VoiceWave.tsx,código-fonte/protótipo,REFACTOR_REQUIRED
788,03-channels/regenera-channel-web-banking/reference-prototypes/corporate-we-bank/components/Auth/LoginScreen.tsx,código-fonte/protótipo,REFACTOR_REQUIRED
