id,caminho,tipo,prioridade,tamanho
6132,14-operations/regenera-operations-cards/.tool-versions,C,P2,14
6134,14-operations/regenera-operations-cards/CODEOWNERS,C,P2,29
6169,14-operations/regenera-operations-change-management/.tool-versions,C,P2,14
6280,14-operations/regenera-operations-incident-management/.tool-versions,C,P2,14
6317,14-operations/regenera-operations-noc/.tool-versions,C,P2,14
6319,14-operations/regenera-operations-noc/CODEOWNERS,C,P2,27
6465,14-operations/regenera-operations-soc/.tool-versions,C,P2,14
6467,14-operations/regenera-operations-soc/CODEOWNERS,C,P2,27
6502,14-operations/regenera-operations-treasury/.tool-versions,C,P2,14
6504,14-operations/regenera-operations-treasury/CODEOWNERS,C,P2,32
6539,10-platform/regenera-platform-backups/.tool-versions,C,P2,14
6541,10-platform/regenera-platform-backups/CODEOWNERS,C,P2,29
6917,09-data-platform/regenera-data-quality/.tool-versions,C,P2,14
6919,09-data-platform/regenera-data-quality/CODEOWNERS,C,P2,25
7150,10-platform/regenera-platform-disaster-recovery/.tool-versions,C,P2,14
7807,10-platform/regenera-platform-kubernetes/.tool-versions,B,P2,14
7809,10-platform/regenera-platform-kubernetes/CODEOWNERS,B,P2,32
8460,10-platform/regenera-platform-terraform/.tool-versions,B,P2,16
8462,10-platform/regenera-platform-terraform/CODEOWNERS,B,P2,31
8901,13-quality/regenera-quality-chaos/.tool-versions,C,P2,14
8903,13-quality/regenera-quality-chaos/CODEOWNERS,C,P2,20
8938,13-quality/regenera-quality-contract/.tool-versions,C,P2,14
8940,13-quality/regenera-quality-contract/CODEOWNERS,C,P2,20
8975,13-quality/regenera-quality-e2e/.tool-versions,C,P2,14
8977,13-quality/regenera-quality-e2e/CODEOWNERS,C,P2,20
9012,13-quality/regenera-quality-financial-invariants/.tool-versions,C,P2,14
9014,13-quality/regenera-quality-financial-invariants/CODEOWNERS,C,P2,20
9066,13-quality/regenera-quality-integration/.tool-versions,C,P2,14
9068,13-quality/regenera-quality-integration/CODEOWNERS,C,P2,20
9114,13-quality/regenera-quality-performance/.tool-versions,C,P2,14
9116,13-quality/regenera-quality-performance/CODEOWNERS,C,P2,20
9152,13-quality/regenera-quality-regulatory/.tool-versions,C,P2,14
9154,13-quality/regenera-quality-regulatory/CODEOWNERS,C,P2,20
9189,13-quality/regenera-quality-resilience/.tool-versions,C,P2,14
9191,13-quality/regenera-quality-resilience/CODEOWNERS,C,P2,20
9264,13-quality/regenera-quality-test-data/.tool-versions,C,P2,14
9266,13-quality/regenera-quality-test-data/CODEOWNERS,C,P2,20
9301,13-quality/regenera-quality-unit/.tool-versions,C,P2,14
9303,13-quality/regenera-quality-unit/CODEOWNERS,C,P2,20
