id,criterio
15,Implementação aderente à especificação funcional e de testes.
36,Implementação aderente à especificação funcional e de testes.
39,Implementação aderente à especificação funcional e de testes.
605,Implementação aderente à especificação funcional e de testes.
1154,Implementação aderente à especificação funcional e de testes.
1367,Implementação aderente à especificação funcional e de testes.
1404,Implementação aderente à especificação funcional e de testes.
1468,Implementação aderente à especificação funcional e de testes.
1619,Implementação aderente à especificação funcional e de testes.
1656,Implementação aderente à especificação funcional e de testes.
1693,Implementação aderente à especificação funcional e de testes.
1730,Implementação aderente à especificação funcional e de testes.
1768,Implementação aderente à especificação funcional e de testes.
1805,Implementação aderente à especificação funcional e de testes.
1842,Implementação aderente à especificação funcional e de testes.
1886,Implementação aderente à especificação funcional e de testes.
1928,Implementação aderente à especificação funcional e de testes.
1968,Implementação aderente à especificação funcional e de testes.
2012,Implementação aderente à especificação funcional e de testes.
2097,Implementação aderente à especificação funcional e de testes.
2099,Implementação aderente à especificação funcional e de testes.
2136,Implementação aderente à especificação funcional e de testes.
2174,Implementação aderente à especificação funcional e de testes.
2211,Implementação aderente à especificação funcional e de testes.
2262,Implementação aderente à especificação funcional e de testes.
2345,Implementação aderente à especificação funcional e de testes.
2384,Implementação aderente à especificação funcional e de testes.
2472,Implementação aderente à especificação funcional e de testes.
2644,Implementação aderente à especificação funcional e de testes.
2681,Implementação aderente à especificação funcional e de testes.
2718,Implementação aderente à especificação funcional e de testes.
2817,Implementação aderente à especificação funcional e de testes.
2854,Implementação aderente à especificação funcional e de testes.
2891,Implementação aderente à especificação funcional e de testes.
2928,Implementação aderente à especificação funcional e de testes.
2965,Implementação aderente à especificação funcional e de testes.
3024,Implementação aderente à especificação funcional e de testes.
3061,Implementação aderente à especificação funcional e de testes.
3098,Implementação aderente à especificação funcional e de testes.
3174,Implementação aderente à especificação funcional e de testes.
3211,Implementação aderente à especificação funcional e de testes.
3248,Implementação aderente à especificação funcional e de testes.
3427,Implementação aderente à especificação funcional e de testes.
3550,Implementação aderente à especificação funcional e de testes.
3615,Implementação aderente à especificação funcional e de testes.
3813,Implementação aderente à especificação funcional e de testes.
3850,Implementação aderente à especificação funcional e de testes.
3905,Implementação aderente à especificação funcional e de testes.
4090,Implementação aderente à especificação funcional e de testes.
4127,Implementação aderente à especificação funcional e de testes.
4222,Implementação aderente à especificação funcional e de testes.
4259,Implementação aderente à especificação funcional e de testes.
4297,Implementação aderente à especificação funcional e de testes.
4334,Implementação aderente à especificação funcional e de testes.
5081,Implementação aderente à especificação funcional e de testes.
5137,Implementação aderente à especificação funcional e de testes.
5474,Implementação aderente à especificação funcional e de testes.
5512,Implementação aderente à especificação funcional e de testes.
5588,Implementação aderente à especificação funcional e de testes.
5626,Implementação aderente à especificação funcional e de testes.
5702,Implementação aderente à especificação funcional e de testes.
5780,Implementação aderente à especificação funcional e de testes.
5856,Implementação aderente à especificação funcional e de testes.
5894,Implementação aderente à especificação funcional e de testes.
5932,Implementação aderente à especificação funcional e de testes.
5970,Implementação aderente à especificação funcional e de testes.
6060,Implementação aderente à especificação funcional e de testes.
6134,Implementação aderente à especificação funcional e de testes.
6245,Implementação aderente à especificação funcional e de testes.
6319,Implementação aderente à especificação funcional e de testes.
6356,Implementação aderente à especificação funcional e de testes.
6393,Implementação aderente à especificação funcional e de testes.
6467,Implementação aderente à especificação funcional e de testes.
6504,Implementação aderente à especificação funcional e de testes.
6541,Implementação aderente à especificação funcional e de testes.
6578,Implementação aderente à especificação funcional e de testes.
6618,Implementação aderente à especificação funcional e de testes.
6660,Implementação aderente à especificação funcional e de testes.
6734,Implementação aderente à especificação funcional e de testes.
6771,Implementação aderente à especificação funcional e de testes.
6808,Implementação aderente à especificação funcional e de testes.
6845,Implementação aderente à especificação funcional e de testes.
6882,Implementação aderente à especificação funcional e de testes.
6919,Implementação aderente à especificação funcional e de testes.
6956,Implementação aderente à especificação funcional e de testes.
6993,Implementação aderente à especificação funcional e de testes.
7030,Implementação aderente à especificação funcional e de testes.
7067,Implementação aderente à especificação funcional e de testes.
7189,Implementação aderente à especificação funcional e de testes.
7236,Implementação aderente à especificação funcional e de testes.
7274,Implementação aderente à especificação funcional e de testes.
7312,Implementação aderente à especificação funcional e de testes.
7464,Implementação aderente à especificação funcional e de testes.
7502,Implementação aderente à especificação funcional e de testes.
7658,Implementação aderente à especificação funcional e de testes.
7696,Implementação aderente à especificação funcional e de testes.
7734,Implementação aderente à especificação funcional e de testes.
7772,Implementação aderente à especificação funcional e de testes.
7944,Implementação aderente à especificação funcional e de testes.
7981,Implementação aderente à especificação funcional e de testes.
8018,Implementação aderente à especificação funcional e de testes.
8055,Implementação aderente à especificação funcional e de testes.
8092,Implementação aderente à especificação funcional e de testes.
8166,Implementação aderente à especificação funcional e de testes.
8203,Implementação aderente à especificação funcional e de testes.
8240,Implementação aderente à especificação funcional e de testes.
8277,Implementação aderente à especificação funcional e de testes.
8314,Implementação aderente à especificação funcional e de testes.
8425,Implementação aderente à especificação funcional e de testes.
8903,Implementação aderente à especificação funcional e de testes.
8940,Implementação aderente à especificação funcional e de testes.
8977,Implementação aderente à especificação funcional e de testes.
9014,Implementação aderente à especificação funcional e de testes.
9068,Implementação aderente à especificação funcional e de testes.
9116,Implementação aderente à especificação funcional e de testes.
9154,Implementação aderente à especificação funcional e de testes.
9191,Implementação aderente à especificação funcional e de testes.
9228,Implementação aderente à especificação funcional e de testes.
9266,Implementação aderente à especificação funcional e de testes.
9303,Implementação aderente à especificação funcional e de testes.
